"MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorch","Fence","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"60","RL",4.18965474202643,9.04204005654448,"Reg","Lvl","Inside","CollgCr","Norm","1Fam","2Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",5.28320372873799,"Gd","TA","PConc","Gd","TA","No","GLQ",6.56103066589657,"Unf",5.01727983681492,856,"Ex","Y","SBrkr",6.75343791859778,854,7.44483327389219,1,0,2,1,3,1,"Gd",8,0,"Absent","Attchd",1,"RFn",2,548,"TA","TA","Y",0,4.12713438504509,0,0,"Absent","2","2008","WD","Normal",208500
"20","RL",4.39444915467244,9.16962253869762,"Reg","Lvl","FR2","Veenker","Feedr","1Fam","1Story",6,8,1976,1976,"Gable","MetalSd","MetalSd","Absent",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",6.88653164253051,"Unf",5.65248918026865,1262,"Ex","Y","SBrkr",7.14124512235049,0,7.14124512235049,0,1,2,0,3,1,"TA",6,1,"TA","Attchd",1,"RFn",2,460,"TA","TA","Y",5.70044357339069,0,0,0,"Absent","5","2007","WD","Normal",181500
"60","RL",4.23410650459726,9.32821229257107,"IR1","Lvl","Inside","CollgCr","Norm","1Fam","2Story",7,5,2001,2002,"Gable","VinylSd","VinylSd","BrkFace",5.09375020080676,"Gd","TA","PConc","Gd","TA","Mn","GLQ",6.18826412308259,"Unf",6.07534603108868,920,"Ex","Y","SBrkr",6.82546003625531,866,7.48829351515943,1,0,2,1,3,1,"Gd",6,1,"TA","Attchd",1,"RFn",2,608,"TA","TA","Y",0,3.76120011569356,0,0,"Absent","9","2008","WD","Normal",223500
"70","RL",4.11087386417331,9.16440114003474,"IR1","Lvl","Corner","Crawfor","Norm","1Fam","2Story",7,5,1915,1970,"Gable","Wd Sdng","Wd Shng","Absent",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",5.37989735354046,"Unf",6.29341927884648,756,"Gd","Y","SBrkr",6.86901445066571,756,7.4489161025442,1,0,1,0,3,1,"Gd",7,1,"Gd","Detchd",1,"Unf",3,642,"TA","TA","Y",0,3.58351893845611,5.60947179518496,0,"Absent","2","2006","WD","Abnorml",140000
"60","RL",4.44265125649032,9.56528381773677,"IR1","Lvl","FR2","NoRidge","Norm","1Fam","2Story",8,5,2000,2000,"Gable","VinylSd","VinylSd","BrkFace",5.86078622346587,"Gd","TA","PConc","Gd","TA","Av","GLQ",6.48616078894409,"Unf",6.19644412779452,1145,"Ex","Y","SBrkr",7.04403289727469,1053,7.69575799055476,1,0,2,1,4,1,"Gd",9,1,"TA","Attchd",1,"RFn",3,836,"TA","TA","Y",5.26269018890489,4.44265125649032,0,0,"Absent","12","2008","WD","Normal",250000
"50","RL",4.45434729625351,9.55506418479516,"IR1","Lvl","Inside","Mitchel","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","VinylSd","VinylSd","Absent",0,"TA","TA","Wood","Gd","TA","No","GLQ",6.59714570188665,"Unf",4.17438726989564,796,"Ex","Y","SBrkr",6.68085467879022,566,7.21744343169653,1,0,1,1,1,1,"TA",5,0,"Absent","Attchd",1,"Unf",2,480,"TA","TA","Y",3.71357206670431,3.43398720448515,0,0,"MnPrv","10","2009","WD","Normal",143000
"20","RL",4.33073334028633,9.21880445038831,"Reg","Lvl","Inside","Somerst","Norm","1Fam","1Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",5.23110861685459,"Gd","TA","PConc","Ex","TA","Av","GLQ",7.22256601882217,"Unf",5.76205138278018,1686,"Ex","Y","SBrkr",7.43543801981455,0,7.43543801981455,1,0,2,0,3,1,"Gd",7,1,"Gd","Attchd",1,"RFn",2,636,"TA","TA","Y",5.54517744447956,4.06044301054642,0,0,"Absent","8","2007","WD","Normal",307000
"60","RL",4.39444915467244,9.24792513230345,"IR1","Lvl","Corner","NWAmes","PosN","1Fam","2Story",7,6,1973,1973,"Gable","HdBoard","HdBoard","Stone",5.48479693349065,"TA","TA","CBlock","Gd","TA","Mn","ALQ",6.75693238924755,"BLQ",5.37989735354046,1107,"Ex","Y","SBrkr",7.01031186730723,983,7.64539769942863,1,0,2,1,3,1,"TA",7,2,"TA","Attchd",1,"RFn",2,484,"TA","TA","Y",5.46383180502561,5.32300997913841,5.43372200355424,0,"Absent","11","2009","WD","Normal",200000
"50","RM",3.95124371858143,8.71948076085107,"Reg","Lvl","Inside","OldTown","Artery","1Fam","1.5Fin",7,5,1931,1950,"Gable","BrkFace","Wd Shng","Absent",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",6.8596149036542,952,"Gd","Y","FuseF",6.93049476595163,752,7.48155570190952,0,0,2,0,2,2,"TA",8,2,"TA","Detchd",1,"Unf",2,468,"Fa","TA","Y",4.51085950651685,0,5.32787616878958,0,"Absent","4","2008","WD","Abnorml",129900
"190","RL",3.93182563272433,8.91206909797013,"Reg","Lvl","Corner","BrkSide","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","MetalSd","MetalSd","Absent",0,"TA","TA","BrkTil","TA","TA","No","GLQ",6.74758652682932,"Unf",4.94875989037817,991,"Ex","Y","SBrkr",6.98286275146894,0,6.98286275146894,1,0,1,0,2,2,"TA",5,2,"TA","Attchd",1,"RFn",1,205,"Gd","TA","Y",0,1.6094379124341,0,0,"Absent","1","2008","WD","Normal",118000
